TmpAbs,AcX,AcY,AcZ,VelX,VelY,VelZ,PosX,PosY,PosZ
27250,0,0,0,0,-426,-638,0,-11606796,-11920708
27500,0,0,0,0,-426,-638,0,-11713296,-12080208
27750,0,0,0,0,-426,-638,0,-11819796,-12239708
28000,0,0,0,0,-426,-638,0,-11926296,-12399208
28250,0,0,0,0,-426,-638,0,-12032796,-12558708
28500,0,0,0,0,-426,-638,0,-12139296,-12718208
28750,0,0,0,0,-426,-638,0,-12245796,-12877708
29000,0,0,0,0,-426,-638,0,-12352296,-13037208
29250,0,0,0,0,-426,-638,0,-12458796,-13196708
29500,0,0,0,0,-426,-638,0,-12565296,-13356208
29750,0,0,0,0,-426,-638,0,-12671796,-13515708
30000,0,0,0,0,-426,-638,0,-12778296,-13675208
30250,0,0,0,0,-426,-638,0,-12884796,-13834708
30500,0,0,0,0,-426,-638,0,-12991296,-13994208
30750,0,0,0,0,-426,-638,0,-13097796,-14153708
31000,0,0,0,0,-426,-638,0,-13204296,-14313208
31250,0,0,0,0,-426,-638,0,-13310796,-14472708
31500,0,0,0,0,-426,-638,0,-13417296,-14632208
31750,0,0,0,0,-426,-638,0,-13523796,-14791708
32000,0,0,0,0,-426,-638,0,-13630296,-14951208
32250,0,0,0,0,-426,-638,0,-13736796,-15110708
32500,0,0,0,0,-426,-842,0,-13843296,-15277960
32750,0,0,0,0,-426,-842,0,-13949796,-15488460
33000,0,0,0,0,-426,-842,0,-14056296,-15698960
33250,0,0,0,0,-426,-842,0,-14162796,-15909460
33500,0,0,0,0,-426,-842,0,-14269296,-16119960
33750,0,0,0,0,-426,-842,0,-14375796,-16330460
34000,0,0,0,34,-640,-682,2084,-14491748,-16541560
34250,0,0,0,34,-640,-682,10584,-14651748,-16712060
34500,0,0,0,34,-640,-682,19084,-14811748,-16882560
34750,0,0,0,34,-640,-682,27584,-14971748,-17053060
35000,0,0,0,34,-640,-682,36084,-15131748,-17223560
35250,0,0,0,34,-640,-682,44584,-15291748,-17394060
35500,0,0,0,34,-640,-682,53084,-15451748,-17564560
35750,0,0,0,34,-640,-682,61584,-15611748,-17735060
36000,0,0,0,34,-640,-682,70084,-15771748,-17905560
36250,0,0,0,34,-640,-682,78584,-15931748,-18076060
36500,0,0,0,34,-640,-682,87084,-16091748,-18246560
36750,0,0,0,34,-640,-682,95584,-16251748,-18417060
37000,0,0,0,34,-640,-682,104084,-16411748,-18587560
37250,0,0,0,34,-640,-682,112584,-16571748,-18758060
37500,0,0,0,34,-640,-682,121084,-16731748,-18928560
37750,0,0,0,34,-640,-682,129584,-16891748,-19099060
38000,0,0,0,34,-640,-682,138084,-17051748,-19269560
38250,0,0,0,34,-640,-682,146584,-17211748,-19440060
38500,0,0,0,34,-640,-682,155084,-17371748,-19610560
38750,0,0,0,34,-640,-682,163584,-17531748,-19781060
39000,0,0,0,34,-640,-682,172084,-17691748,-19951560
39250,0,0,0,34,-640,-682,180584,-17851748,-20122060
39500,0,0,0,34,-640,-682,189084,-18011748,-20292560
39750,0,0,0,34,-640,-682,197584,-18171748,-20463060
40000,0,0,0,34,-640,-682,206084,-18331748,-20633560
40250,0,0,0,34,-640,-682,214584,-18491748,-20804060
40500,0,0,0,34,-640,-682,223084,-18651748,-20974560
40750,0,0,0,34,-640,-682,231584,-18811748,-21145060
41000,0,0,0,34,-640,-682,240084,-18971748,-21315560
41250,0,0,0,34,-640,-682,248584,-19131748,-21486060
41500,0,0,0,34,-640,-682,257084,-19291748,-21656560
41750,0,0,0,34,-640,-682,265584,-19451748,-21827060
42000,0,0,0,34,-640,-682,274084,-19611748,-21997560
42250,0,0,0,34,-640,-682,282584,-19771748,-22168060
42500,0,0,0,34,-640,-682,291084,-19931748,-22338560
42750,0,0,0,34,-640,-682,299584,-20091748,-22509060
43000,0,0,0,34,-640,-682,308084,-20251748,-22679560
43250,0,0,0,34,-640,-682,316584,-20411748,-22850060
43500,0,0,0,34,-640,-682,325084,-20571748,-23020560
43750,0,0,0,34,-640,-682,333584,-20731748,-23191060
44000,0,0,0,34,-640,-682,342084,-20891748,-23361560
44250,0,0,0,34,-640,-682,350584,-21051748,-23532060
44500,0,0,0,34,-640,-682,359084,-21211748,-23702560
44750,0,0,0,34,-640,-682,367584,-21371748,-23873060
